Postcode,NumberDonations,TotalDonated,AverageDonated,Newsletter
NG9 3WF,4,61,15.25,0
NG9 4WP,1,21,21.0,0
NG9 3EL,1,27,27.0,0
NG1 9FH,5,75,15.0,0
NG5 6QZ,1,15,15.0,1
NG7 5QL,2,31,15.5,1
NG7 2FT,1,15,15.0,1
NG4 1PY,2,31,15.5,1
NG8 3SL,1,18,18.0,1
NG9 4AX,5,75,15.0,0
NG5 1PS,1,15,15.0,0
NG13 8XS,2,37,18.5,1
NG1 3RD,14,213,15.21,0
NG8 2FU,4,62,15.5,1
NG3 7GN,2,30,15.0,0
NG1 1NR,1,15,15.0,0
NG1 3NE,1,15,15.0,0
NG7 2GQ,3,45,15.0,1
NG8 3DB,4,60,15.0,1
NG5 5GD,1,18,18.0,1
NG9 3HG,5,82,16.4,1
NG9 2UB,2,30,15.0,1
NG2 5HN,7,105,15.0,1
NG3 1LE,1,24,24.0,1
NG2 3DW,1,16,16.0,1
NG2 7RY,21,315,15.0,0
NG3 3EN,1,32,32.0,1
NG3 4JL,12,400,33.33,0
NG5 2ET,7,108,15.43,1
NG5 9WA,3,45,15.0,0
NG2 6PP,2,30,15.0,1
NG5 1BW,12,186,15.5,0
NG9 1PR,9,137,15.22,0
NG4 1JY,2,30,15.0,0
NG1 1LF,3,46,15.33,1
NG1 1NN,7,229,32.71,1
NG6 0GA,2,30,15.0,1
NG8 3DJ,4,60,15.0,1
NG1 5BT,20,300,15.0,1
NG8 9QN,9,137,15.22,1
NG7 2LF,1,15,15.0,1
NG5 0NT,2,31,15.5,0
NG3 2EU,2,30,15.0,1
NG3 6NY,1,17,17.0,0
NG7 4GR,1,15,15.0,1
NG2 5XS,2,52,26.0,0
NG2 5XZ,3,45,15.0,1
NG3 5HR,4,61,15.25,1
NG2 4GW,1,15,15.0,1
NG9 1PY,1,36,36.0,1
NG12 2AT,3,50,16.67,1
NG3 7FE,2,30,15.0,1
NG2 6QB,9,136,15.11,0
NG7 1RA,4,63,15.75,1
NG5 3FD,6,92,15.33,1
NG7 3LT,1,15,15.0,0
NG6 6EG,1,91,91.0,1
NG4 1PD,2,30,15.0,1
NG6 8PJ,2,32,16.0,0
NG11 7AX,1,302,302.0,0
NG8 6DQ,3,45,15.0,0
NG1 1EQ,9,135,15.0,1
NG6 9LE,1,16,16.0,1
NG9 2JB,6,97,16.17,1
NG8 3HT,9,142,15.78,1
NG7 1PY,9,135,15.0,0
NG11 7ES,2,30,15.0,1
NG3 5SH,5,75,15.0,1
NG1 4DB,2,30,15.0,0
NG8 5LW,2,49,24.5,0
NG2 1QH,1,15,15.0,1
NG1 9EZ,4,248,62.0,0
NG2 7DL,1,16,16.0,1
NG5 3HW,2,30,15.0,0
NG1 3JP,8,6613,826.62,1
NG1 1DU,14,221,15.79,1
NG1 9GE,2,30,15.0,1
NG7 6HB,2,33,16.5,0
NG5 1JG,1,25,25.0,1
NG7 3PB,1,51,51.0,1
NG1 6WY,37,557,15.05,1
NG1 1EN,2,30,15.0,1
NG2 4DG,10,150,15.0,0
NG2 9JY,1,45,45.0,1
NG7 1JQ,3,45,15.0,1
NG7 5QX,3,50,16.67,0
NG3 6GY,6,91,15.17,1
NG8 5WE,1,16,16.0,1
NG7 7DB,2,30,15.0,1
NG8 3EN,2,72,36.0,0
NG9 2ZZ,2,31,15.5,1
NG6 9EJ,3,50,16.67,0
NG7 1FP,2,30,15.0,1
NG1 1QQ,1,15,15.0,0
NG8 2RN,1,20,20.0,0
NG2 1WY,1,15,15.0,0
NG8 1ND,10,164,16.4,1
NG9 2QA,1,15,15.0,1
NG3 1FF,22,333,15.14,1
NG7 1UB,3,45,15.0,0
