Latitude,Longitude,Newsletter,Transactions_LifetimeGiftsAmount,Transactions_LifetimeGiftsNumber,Transactions_AverageGiftAmount,DonationFrequency,DonationFrequencyActive,Transactions_Months1To12GiftsAmount,Transactions_Months1To12GiftsNumber,monthlyDonorMonths1to12,Transactions_Months13To24GiftsAmount,Transactions_Months13To24GiftsNumber,monthlyDonorMonths13to24,Transactions_Months25To36GiftsAmount,Transactions_Months25To36GiftsNumber,monthlyDonorMonths25to36,Transactions_DateOfFirstGift,Transactions_FirstGiftAmount,Transactions_DateOfLastGift,Transactions_LastGiftAmount,monthsSinceFirstDonation,monthsSinceLastDonation,activeMonths,Transactions_DateOfHighestGift,Transactions_HighestGiftAmount,Transactions_DateOfLowestGift,Transactions_LowestGiftAmount,DistanceFromEHSC
52.961065661186986,-1.2052002458949738,1,419.66,4,104.915,0.1333333333333333,0.1481481481481481,152.89,1,0,154.77,1,0,97.19,1,0,2021-10-23,96.09,2023-12-31,148.05,29,3,27,2024-01-01,148.44,2021-10-20,99.05,4.344046100800254
52.92410533776324,-1.2164325888050456,1,111.05,3,37.016666666666666,0.1034482758620689,0.2307692307692307,0.0,0,0,50.43,1,0,52.93,1,0,2021-11-26,48.27,2022-11-17,50.97,28,16,13,2022-11-21,48.67,2022-11-19,49.69,6.016685151488984
52.93650995782063,-1.1275471317585393,1,982.82,11,89.34727272727274,0.2972972972972973,1.0,0.0,0,0,0.0,0,0,901.0,10,0,2021-03-30,97.38,2022-01-13,103.32,36,26,11,2022-01-12,97.97,2022-01-13,102.72,2.1488842000734465
52.99795197046983,-1.189854168071797,1,20.45,2,10.225,0.1176470588235294,2.0,0.0,0,0,10.45,1,0,0.0,0,0,2022-12-06,10.03,2022-12-06,9.92,16,16,1,2022-12-06,9.79,2022-12-03,9.94,5.880628093211804
52.97175634123457,-1.2039686088096484,1,20.75,2,10.375,0.074074074074074,2.0,0.0,0,0,0.0,0,0,10.75,1,0,2022-01-20,10.52,2022-01-20,9.68,26,26,1,2022-01-23,9.64,2022-01-20,10.02,4.636596445751738
52.97484250595667,-1.160925706724403,0,36.88,2,18.44,0.054054054054054,1.0,0.0,0,0,0.0,0,0,24.38,1,0,2021-04-14,24.17,2021-04-17,24.43,36,35,2,2021-04-14,25.78,2021-04-16,25.97,2.6721428430544996
52.97963001832389,-1.1529530513551425,1,66.86,7,9.551428571428572,0.1891891891891892,1.1666666666666667,0.0,0,0,0.0,0,0,56.86,6,0,2021-04-01,9.83,2021-08-30,10.12,36,31,6,2021-09-03,9.52,2021-09-02,10.13,2.9693966009892003
52.947136827029766,-1.2312424042892225,0,991.21,4,247.8025,0.1333333333333333,0.1481481481481481,473.76,1,0,281.23,1,0,199.18,1,0,2021-11-10,201.15,2023-12-15,486.42,29,3,27,2023-12-16,513.49,2021-11-11,194.72,6.06575427737851
52.97032348544491,-1.121081266798323,0,62.03,3,20.676666666666662,0.1071428571428571,0.12,29.7,1,0,0.0,0,0,29.93,1,0,2021-12-17,29.77,2023-12-11,30.59,27,3,25,2023-12-11,28.97,2021-12-15,30.34,2.2988891993275784
52.89813400343312,-1.1498857205768445,0,41.37,2,20.685,0.0689655172413793,2.0,0.0,0,0,0.0,0,0,21.37,1,0,2021-12-03,20.8,2021-12-06,19.76,28,28,1,2021-12-05,19.7,2021-12-04,19.44,6.222640619456406
52.95645478529814,-1.1657477101815297,1,526.89,2,263.445,0.0714285714285714,0.0714285714285714,0.0,0,0,0.0,0,0,506.03,1,0,2021-12-24,497.25,2024-03-10,82.54,27,0,28,2021-12-21,514.08,2024-03-13,84.35,1.643676537237825
52.948481025208366,-1.1945635394134235,1,17.24,3,5.746666666666666,1.0,1.5,9.74,2,0,0.0,0,0,0.0,0,0,2024-01-03,5.23,2024-03-01,5.01,2,1,2,2024-03-01,4.99,2024-03-03,5.04,3.603959035709076
52.95082772432578,-1.033995376899021,0,199.64,2,99.82,0.0714285714285714,2.0,0.0,0,0,0.0,0,0,99.64,1,0,2021-12-23,99.35,2021-12-24,101.46,27,27,1,2021-12-23,96.2,2021-12-22,98.76,7.245314359033057
52.91152970101492,-1.1070640786849697,0,198.84,3,66.28,0.25,3.0,98.84,2,0,0.0,0,0,0.0,0,0,2023-04-23,49.53,2023-04-23,50.55,11,11,1,2023-04-27,48.94,2023-04-23,50.41,5.251416026843272
52.93790985937041,-1.1303744898055386,1,37.32,3,12.44,0.1875,0.2142857142857142,19.84,1,0,14.98,1,0,0.0,0,0,2022-12-19,14.81,2024-01-17,19.42,15,2,14,2024-01-13,20.67,2022-12-19,15.18,1.9277947201170884
